check_id	result	detail	artifact
BL076-R3-BL076-SG-H-SpatialRendererTypes.h	PASS	SpatialRendererTypes.h lines=194 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R3-BL076-SG-H-SpatialSteamAudioBackend.h	PASS	SpatialSteamAudioBackend.h lines=167 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R3-DM-001	PASS	SpatialRendererTypes.h does not include SceneGraph.h	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_module_dependency_matrix.tsv
BL076-R3-DM-002	PASS	SpatialRendererTypes.h does not include phonon.h	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_module_dependency_matrix.tsv
BL076-R3-DM-003	PASS	SpatialRendererTypes.h avoids headphone_dsp includes	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_module_dependency_matrix.tsv
BL076-R3-DM-004	PASS	SpatialProfileRouter.h avoids phonon.h	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_module_dependency_matrix.tsv
BL076-R3-DM-005	PASS	SpatialProfileRouter.h avoids headphone_dsp includes	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_module_dependency_matrix.tsv
BL076-R3-DM-006	PASS	SpatialProfileRouter.h includes SpatialRendererTypes.h	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_module_dependency_matrix.tsv
BL076-R3-DM-007	PASS	Source/spatial_renderer/* avoids SceneGraph include edge	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_module_dependency_matrix.tsv
BL076-R3-RT-001	PASS	rt_exit=0;non_allowlisted=0;total_hits=8	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/rt_audit.tsv
BL076-R3-SM-qa-bl009-headphone-contract-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R3-SM-qa-bl009-headphone-profile-contract-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R3-SM-qa-bl018-ambisonic-contract-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R3-SM-qa-bl018-profile-matrix-strict-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R3-SM-qa-bl052-steam-audio-virtual-surround-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R3-SM-qa-bl053-head-tracking-orientation-injection-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R3-SM-qa-bl069-rt-safe-preset-pipeline-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R3-SM-signature-hash	PASS	smoke signature stable vs baseline	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R3-SM-module-inventory	PASS	module inventory stable vs baseline	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R3-BP-001	PASS	bridge payload emits snapshotSchema	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/bridge_payload_parity.tsv
BL076-R3-BP-002	PASS	bridge payload emits nativeBridgeDiagnosticsSchema	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/bridge_payload_parity.tsv
BL076-R3-BP-003	PASS	bridge payload includes nativeBridgeDiagnostics object	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/bridge_payload_parity.tsv
BL076-R3-BP-004	PASS	UI parser checks native bridge diagnostics schema key	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/bridge_payload_parity.tsv
BL076-R3-BP-005	PASS	UI parser ingests snapshotSchema contract key	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/bridge_payload_parity.tsv
BL076-R3-BP-signature-hash	PASS	bridge signature stable vs baseline	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/bridge_payload_parity.tsv
BL076-lane_result	PASS	mode=contract_only;runs=3;pass=117;fail=0	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z
